,Company,Market Value (x €1.000)
760,Namco    Bandai  Holdings  Inc,1.531
761,NANSHAN     ALUMINIUM,327
762,Nasdaq   Inc,1.450
763,Naspers   Ltd,5.104
764,National  Bank  of Australia,9.305
765,National  Bank  of Greece   SA,8.515
766,NATIONAL     GRID  PLC,14.488
767,The,4
768,NCR  Atleos  Corp,1.397
769,NEC  CORP,7.560
770,NEC  ELECTRONICS     CORP,2.741
771,NEPI  Rockcastle  PLC,926
772,Nestle  SA,44.212
773,NetApp   Inc,5.672
774,NetEase   Inc,11.415
775,NetFlix Inc,63.659
776,New   China  Life Insurance  Co Lt,551
777,New   Linde PLC,51.991
778,  Techn,9.422
779,Newmarket     Corp,2.857
780,Newmont     Mining  Corp,641
781,Nexi  SpA,315
782,Nexon   Co Ltd,1.124
783,Nexstar  Broadcasting   Group   Inc,2.682
784,NEXT   PLC,15.755
785,NGK   INSULATORS    LTD,1.732
786,Nibe  Industrier  AB,982
787,Nidec  Corp,4.796
788,Nihon   Kohden   Corp,2.056
789,Nihon   Unisys Ltd,1.352
790,Nippon,3.914
791,Nippon   Express  Holdings  Co  Ltd,790
792,Nippon   Oil Corp,2.011
793,  Sumitomo    Metal,1.991
794, Telephone    C,21.207
795,Nippon   Yusen  Kabushiki,1.971
796,Nissan  Chemical   Industries  Ltd,2.292
797,NISSAN   MOTOR     CO LTD,840
798,Nissin Foods   Holdings  Co  Ltd,689
799,Niterra  Co Ltd,1.361
800,Nitori Co  Ltd,12.574
801,Nitto Denko   Corp,9.978
802,S,95.087
803,Nokia  OYJ,4.621
804,Nomura    International  PLC,11.606
805,Nomura    Real Estate  Master  Fund,9
806,Nomura    Research   Institute Ltd,13.416
807,NORDEA    BANK   ABP,11.804
808,NORFOLK    SOUTHERN      CORP,11.763
809,Northern   Star Resources   Ltd,2.217
810,NORTHERN      TRUST  COMPANY      LONDON,27.026
811,Northern   Trust Corp,566
812,NORTHERN      TRUST  INTERN   BANK,107.259
813,Novartis  AG,18.274
814,Novatek   Microelectronics   Corp,8.089
815,S,503
816,    B,21.311
817,NSK  Ltd,566
818,NTT  Data  Corp,1.552
819,NVR   INC,4.589
820,NXP  Semiconductor     NV,5.405
821,Obayashi   Corp,4.053
822,Obic  Co Ltd,1.819
823,The,797
824,Oesterreichische   Post  AG,1 1
825,film  Tech  Co Ltd,2 0
826,Okamura    Corp,2.892
827,OKTA   INC,157
828,Old  Dominion   Freight  Line Inc,14.652
829,Old  Mutual  Ltd,5.109
830,Old  Mutual  PLC,15.206
831,OLYMPUS     CORP,5.749
832,OMEGA     HLTHCARE    INVESTORS,2.427
833,OMV    AG,6 6
834,Ono  Pharmaceutical    Co  Ltd,1.990
835,OPAP   SA,5.720
836,Oracle  Corp,16.093
837,Orange   SA,4.099
838,Orica  Ltd,1.128
839,Oriental  Land  Co Ltd,3.147
840,ORIENTAL    YUHONG,7 5
841,ORION   OYJ,947
842,ORIX  Corp,16.213
843,ORLEN   SA,158
844,S,3.716
845,Osaka  Gas  Co  Ltd,1.268
846,Osaka  Securities  Exchange   Co  L,8.445
847,Oshkosh   Corp,3.957
848,OUTsurance    Group   Ltd,1.645
849,Chinese    Banking   Corp  L,1.813
850,Owens   Corning   Inc,8.317
851,PALANTIR    TECHNOLOGIES      INC,25.316
852,Palo  Alto Networks   Inc,2.593
853,Panasonic   Corp,2.918
854,S,1 7
855,Parker  Hannifin  Corp,1.170
856,Partners  Group   Holding  AG,4.389
857,PAYCHEX    INC,4.833
858,PayPal  Holdings  Inc,20.141
859,Pearson   Plc,2.278
860,Pegatron   Corp,4.006
861,PENTAIR   INC,2.112
862,PeptiDream    Inc,2.171
863,PERNOD    RICARD,596
864,Pernod   Ricard SA,3
865,Petroleo  Brasileiro SA,4.368
866,Petronet   LNG  Ltd,7.012
867,"Pfizer Inc,",13.984
868,PHARMAESSENTIA       CORP,4.964
869,PHINIA   INC,832
870,The,2.462
871,Pidilite Industries Ltd,3.023
872,Piedmont    Office Realty Trust  I,1.660
873,Ping  An Bank  Co  Ltd,230
874,Ping  An Insurance   Group  Co  of,12.515
875,PLAYTIKA   HOLDING    CORP,1.300
876,   Ltd,1.973
877,Pluxee  France  SA,2.767
878,PNC  Financial  Services Group   I,2.368
879,Pool  Corp,375
880,Pop  Mart  International  Group   L,1.115
881,Porsche   Automobil   Holding  SE,108
882,Pou  Chen  Corp,1.729
883,Powszechny    Zaklad  Ubezpieczen,3.278
884,Poya  International  Co  Ltd,1.846
885,Prada  SpA,1.615
886,Press  Metal  Aluminium    Holdings,332
887,Pro  Medicus   Ltd,4.968
888,  GAMBLE    CO,33.741
889,PROGRESSIVE     CORP,29.965
890,Prologis  LP,2.368
891,Promotora    y Operadora   de  Infra,1.438
892,    Media   SE,1 2
893,PROSUS    NV,22.648
894,Proximus,9 1
895,PRUDENTIAL     PLC,15.510
896,PUBLICIS   GROUP,4.574
897,PULTE   GROUP    INC,16.221
898,Pure  Storage  Inc,324
899,Qantas   Airways  Ltd,663
900,QBE  Insurance   Group   Ltd,2.046
901,QIAGEN    NV,10.551
902,Qimonda    AG,260
903,Qingdao   Haier  Co Ltd,9 6
904,QNB   Finance  Ltd,4.106
905,QUALCOMM       Inc,37.029
906,Quanta   Services  Inc,4.264
907,Quebecor    Inc,390
908,Radian  Group   Inc,4.748
909,Raiffeisen  Bank  International,1.559
910,RAKUTEN     INC,9.117
911,Ranbaxy   Laboratories   Ltd,7.334
912,Randstad   Holding  NV,5 1
913,Range   Technology,199
914,Raymond    James   Financial,813
915,REA  Group   Ltd,830
916,Realtek  Semiconductor     Corp,11.862
917,Reckitt Benckiser   Group  PLC,27.852
918,Recordati  SpA,551
919,Recruit  Holdings  Co  Ltd,49.052
920,Reece  Ltd,763
921,Regeneron    Pharmaceuticals    Inc,2.561
922,Reliance  Industries  Ltd,6.463
923,Rengo   Co Ltd,2.824
924,Repros   Therapeutics   Inc,1.622
925,REPSOL   INTL  FINANCE,120
926,Republic  of India,1.566
927,Republic  of Singapore,9.874
928,Republic  Services  Inc,6.297
929,ResMed    Inc,5.865
930,Resona   Bank  Ltd,15.960
931,Restaurant   Brands  International,256
932,Revvity  Inc,688
933,Rexford   Industrial Realty Inc,5.955
934,RHB  Bank   Bhd,6.321
935,RICOH   CO  LTD,3.321
936,Rinnai  Corp,6.063
937,Rio Tinto  Ltd,10.870
938,Robinhood    Markets   Inc,842
939,ROBLOX    Corp,611
940,  Partners  Stichting Adm,4.040
941,Roche   Holding  AG,56.421
942,Rockchip   Electronics  Co Ltd,4 7
943,DE,10.612
944,Rockwool    International  AS,1.867
945,Rogers  Communications      Inc,179
946,ROHM    CO  LTD,3.529
947,Rollins Inc,3.151
948,ROPER   INDUSTRIES    INC,1.352
949,Ross  Stores Inc,2.426
950,ROYAL   BK  CANADA,3.875
951,Rpm   International  Inc,6.165
952,Ryder  System   Inc,4.423
953,Ryohin  Keikaku   Co Ltd,1.631
954,P  Global  Inc,21.042
955,Safestore  Holdings   PLC,3.962
956,The,3.879
957, PLC,1.876
958,Sally Beauty  Holdings  Inc,2.258
959,Salmar  ASA,3.095
960,Sampo   OYJ,23.716
961,Samsung    Biologics Co  Ltd,4.571
962,Samsung    Electronics  Co Ltd,38.120
963,Samsung    Securities Co  Ltd,1.131
964,SANDOZ    GROUP    AG,365
965,SCI    Corp,2.192
966,Sanofi,37.922
967,SanPaolo   IMI SpA,21.533
968,SANQI   HUYU,247
969,Santander   Bank  Polska  SA,1.736
970,Santen  Pharmaceutical    Co  Ltd,1.058
971,Sanwa   Holdings  Corp,2.978
972,SAP  AG,49.274
973,Japan,13.971
974,SBI Life Insurance  Co  Ltd,6.257
975,SBS  Holdings  Inc,2.502
976,SCHIBSTED    ASA,2.936
977,Schindler  Holding  AG,515
978,Schneider   Electric SA,74.269
979,Scorpio  Tankers  Inc,2.189
980,   SE,8.459
981,SCSK  Corp,695
982,Sea  Ltd,2.238
983,Secom,1.725
984,Seek  Ltd,542
985,Segro  PLC,6.320
986,SEI Investments   Co,571
987,Seibu  Holdings  Inc,5
988,Seiko  Epson  Corp,3.031
989,SEKISUI  CHEMICAL     CO LTD,2.150
990,Sekisui House   Ltd,1.522
991,Semen   Indonesia   Persero  Tbk  PT,1.510
992,SERES  GROUP    CO  LTD,353
993,ServiceNow    Inc,51.247
994,  I Holdings  Co Ltd,18.164
995,SF Holding  Co  Ltd,214
996,SG  Holdings  Co  Ltd,331
997,SGS  SA,3.195
998,Shanghai   Friendess  Electronic,4 1
999,"SHENHUO     CO,LTD",138
1000,Medical  E,6.558
1001,Shenzhen    Transsion  Holdings  Co,107
1002,Williams    Co,17.975
1003,SHIFT  INC,2.451
1004,Shimadzu    Corp,691
1005,Shimamura    Co  Ltd,1.421
1006,Shimano   Inc,1.170
1007,Shimizu  Corp,8.894
1008,ETSU    CHEMICAL    CO  LTD,23.903
1009,Shinhan   Financial Group   Co Ltd,16.118
1010,  Co Ltd,2.242
1011,Shiseido  Co  Ltd,3.484
1012,Shizuoka   Financial Group   Inc,1.868
1013,SHOPIFY   INC,7.123
1014,Shriram   Finance  Ltd,4.444
1015,Shutterstock   Inc,1.438
1016,The,3.313
1017,Siemens   AG,55.195
1018,Sika AG,2
1019,Silergy Corp,2.116
1020,S,2 3
1021,SINGAPORE     EXCHANGE     LTD,1.113
1022,Singapore   Technologies   Engineering,3.388
1023,Sino  Land Co  Ltd,747
1024,SIRIUS  XM  HOLDINGS     INC,1.711
1025,SITC International   Holdings  Co,1.812
1026,SK Square   Co Ltd,3.694
1027,Skylark  Co Ltd,893
1028,Skyworks   Solutions  Inc,1.730
1029,  Gordon   Ltd,885
1030,SM  Investments    Corp,3.524
1031,Smith  International  Inc,17.730
1032,SNAP   INC,253
1033,Socionext   Inc,1.450
1034,Sodexo,11.587
1035,Sofina  SA,1.550
1036,Sohgo   Security Services  Co Ltd,1.442
1037,Solvay  SA,3 3
1038,SOLVENTUM      CORP,320
1039,Sompo    Holdings  Inc,7.715
1040,Sonae,3
1041,Sonic  Healthcare  Ltd,1.060
1042,SONOCO     PRODUCTS    CO,2.632
1043,Sonova   Holding  AG,318
1044,Sony  Financial  Holdings  Inc,61.386
1045,SooChow    Securities  Co Ltd,5 5
1046,   Ltd,2.652
1047,Southwest    Airlines Co,5.066
1048,Norge  ASA,2
1049,SPD  BANK,167
1050,Spectra  Systems   Corp,473
1051,Spectrum   Brands   Holdings  Inc,1.485
1052,Splendid  Steed  Investments    Ltd,3.310
1053,Spotify  Technology   SA,36.057
1054,Square  Inc,4.278
1055,Standard   Bank  Group   Ltd,10.254
1056,Standard   Chartered   PLC,14.651
1057,"  Decker  Inc,",11.225
1058,Stanley  Electric Co Ltd,1.077
1059,Stantec  Inc,5.996
1060,Starbucks   Corp,1.661
1061,Start Today  Co  Ltd,751
1062,State Bank   of India,5.644
1063,State of Qatar,565
1064,STATE   STREET  CORP,9.649
1065,Stellantis NV,427
1066,Stockland,2.888
1067,Strabag  SE,1
1068,Stryker  Corp,4.541
1069,Sumber   Alfaria Trijaya Tbk  PT,3.261
1070,Sumitomo    Corp,2.744
1071,Sumitomo    Electric Industries  L,5.248
1072,Sumitomo    Forestry  Co  Ltd,8.305
1073,Sumitomo    Metal  Mining   Co Ltd,5.239
1074,Sumitomo    Mitsui  Banking  Corp,37.581
1075, Development,1.084
1076,Sun  Life Financial Inc,3.354
1077,Metway      Ltd,2.483
1078,Sundrug   Co  Ltd,2
1079,Sungrow    Power  Supply  Co  Ltd,7
1080,SUNNY    OPTICAL,5.577
1081,  Food  Ltd,767
1082,Sunwoda    Electronic  Co Ltd,149
1083,Super  Micro  Computer    Inc,1.265
1084,Supreme    Industries Ltd,2.015
1085,Suzuki  Motor   Corporation,16.349
1086,Svenska   Handelsbanken    AB,1.469
1087,Swatch   Group  AG,3 5
1088,The,3 5
1089,Swiss  Prime  Site AG,4.736
1090,Swiss  Re AG,9
1091,Symrise  AG,23.400
1092,SYNNEX    Corp,4.151
1093,Synopsys   Inc,8.629
1094,Sysmex   Corp,7.176
1095,T Rowe   Price Group   Inc,1.056
1096,D   HOLDINGS    INC,1.124
1097,Taisei Corp,731
1098,Taiwan   Semiconductor    Manufacturing,241.295
1099,Taiyo  Nippon   Sanso  Corp,6.146
1100,Takeda   Pharmaceutical    Co Ltd,27.214
1101,TWO     INTERACTIVE    SOFTWARE,7.885
1102,Tandberg   Television  ASA,4.898
1103,Target  Corp,6.515
1104,"Tata  Consultancy   Services Ltd,",32.743
1105,TC  Energy  Corp,1 8
1106,TD  Bank  US  Holding  Co,1.279
1107,TDK  CORP,22.229
1108,TE CONNECTIVITY      PLC,13.862
1109,Tech  Mahindra    Ltd,9.868
1110,Techne   Corp,805
1111,Techtronic   Industries Co,3.823
1112,TEGNA    Inc,2.158
1113,  AB,10.889
1114,Telecom   Corp  of New   Zealand  Lt,591
1115,Telecom   Italia Spa,10.688
1116,Telefonica  Brasil SA,6.543
1117,TELEFONICA    EUROPE    BV,3.804
1118,TELEKOM     MALAYSIA    BHD,2.752
1119,SP     ADR,7.876
1120,TELENET   GROUP    HOLDING    NV,1 4
1121,TELENOR    ASA,2.139
1122,Telia Company    AB,2.111
1123,TELSTRA   CORP   LTD,3.687
1124,Temp   Holdings  Co  Ltd,1.134
1125,Tenaris  SA,7.768
1126,Tencent   holdings  ltd,96.027
1127,TERADYNE     INC,837
1128,TERNA   SPA,11.965
1129,TERUMO     CORP,3.671
1130,TESCO   PLC,17.933
1131,Texas  Instruments   Inc,13.355
1132,TFC,4 6
1133,THAI  OIL PCL,621
1134,The  Hartford  Insurance   Group  Inc,32.909
1135,The  Weir  Group   Plc,7.678
1136,Thermo    Fisher Scientific Inc,30.275
1137,THK  Co  Ltd,7.489
1138,Thomson    Reuters  Corp,5.942
1139,Timken   Co,1.496
1140,Tingyi Cayman    Islands Holding,9.924
1141,TJX COMPANIES      INC,5.244
1142,TLYS,5 5
1143,TMB   Bank  PCL,825
1144,Mobile   US Inc,11.538
1145,TMX   Group   Inc,1.954
1146,Toast  Inc,552
1147,Tokyo,999
1148,TOKIO   MARINE    HOLDINGS    INC,36.666
1149,Tokyo  Broadcasting    System  Hold,5.504
1150,Tokyo  Electron  Ltd,27.983
1151,Tokyo  Gas  Co  Ltd,4.778
1152,Tokyu  Corp,634
1153,TongFu   Microelectronics   Co  Ltd,3 4
1154,Toppan   Printing  Co Ltd,2.723
1155,Topsports   International  Holdin,551
1156,TORAY   INDUSTRIES    INC,1.116
1157,Toyota  Industries  Corp,1.860
1158,Toyota  Motor   Corp,45.802
1159,Toyota  Tsusho   Corp,7.006
1160,Tractor  Supply  Co,3.271
1161,The,1.078
1162,Tradeweb    Markets   Inc,18.358
1163,Trane  Inc,1.021
1164,Trane  Technologies   plc,21.668
1165,TransUnion,13.782
1166,Transurban   Group,5.794
1167,TRAVELERS    COS  INC,10.891
1168,Treasury  Wine   Estates Ltd,716
1169,Trend  Micro   Inc,3.364
1170,Trent  Ltd,6.411
1171,Trimble  Navigation   Ltd,2.883
1172,Trina Solar  Co Ltd,4 3
1173,"Trip,com   Group  Ltd",14.494
1174,True  Corp  PCL,3.314
1175,Truist Financial  Corp,3.059
1176,S,3.038
1177,Tsuruha   Holdings  Inc,1.005
1178,First   Century  Fox  Inc,9.226
1179,UBER   TECHNOLOGIES      INC,2.884
1180,UBS  Group   AG,14.040
1181,UCB  SA,6.392
1182,UGI  Corp,3.353
1183,  Fragran,4.760
1184,Ultratech  Cement    Ltd,4.214
1185,Unicharm    Corp,6.394
1186,UniCredit  SpA,16.013
1187,Unilever  PLC,13.720
1188,Union   Pacific Corp,11.221
1189,UnionBanCal    Corp,46.375
1190,Uniqa  Insurance   Group   AG,1 1
1191,UNITED   AIRLINES   INC,6.348
1192,United  Internet  AG,3
1193,United  Parcel  Service Inc,11.633
1194,UNITED   RENTALS    NORTH    AM,1.778
1195,United  Therapeutics   Corp,3.987
1196,Unitedhealth   Group   Inc,51.073
1197,Uniti Group   Inc,848
1198,Universal  Health  Services  Inc,4.141
1199,Universal  Music  Group   BV,15.849
1200,Universal  Robina   Corp,977
1201,Unum    Group,6.390
1202,UPL  Ltd,15.372
1203,KYMMENE,2.890
1204,US  BANK   NA,9.311
1205,USISH,208
1206,Veeva   Systems  Inc,4.972
1207,VERALTO    CORP,3.565
1208,VeriSign  Inc,3.495
1209,Verisk  Analytics Inc,19.059
1210,Verizon  Communications,27.812
1211,VERTEX   PHARMACEUTICALS        INC,12.572
1212,Vertiv Holdings   Co,14.305
1213,S,7.651
1214,VGT,127
1215,Viatris Inc,4.974
1216,Vibra  Energia  SA,6.053
1217,Vicinity Centres,3.604
1218,Vinci SA,8.216
1219,Vipshop   Holdings  Ltd,676
1220,Visa Inc,66.228
1221,Vodacom    Group   Ltd,7.704
1222,Vodafone    Group  PLC,3.433
1223,VOESTALPINE     AG,5
1224,Volcan  Investments    Ltd,9.904
1225,Volkswagen    AG,152
1226,Voltronic  Power   Technology   Cor,384
1227,Voya  Financial  Inc,3.304
1228,VULCAN    MATERIALS    CO,12.660
1229,DE,7.869
1230,Walgreens    Boots  Alliance Inc,644
1231,MART      STORES   INC,30.663
1232,Walt  Disney  Co,14.361
1233,Want   Want   China Holdings   Ltd,5.481
1234,Warehouses     De Pauw   CVA,1.979
1235,Warner   Bros  Discovery  Inc,5.412
1236,Waters   Corp,1.229
1237,Weichai   Power  Co  Ltd,11.821
1238,Weigao   Holding  Co  Ltd,1.050
1239,Welcia  Holdings   Co Ltd,684
1240,Wesfarmers    Ltd,12.423
1241,West   Japan Railway   Co,5.302
1242,West   Pharmaceutical   Services  I,650
1243,WESTERN     DIGITAL  CORP,6.427
1244,Western   Mining   Co Ltd,202
1245,Western   Superconducting     Techno,1 8
1246,Westfield  Corp,1.952
1247,Westpac   Banking   Corp,7.968
1248,WEYERHAEUSER       CO,20.430
1249,WHA    Corp PCL,1.329
1250,Whirlpool   Corp,3.383
1251,WHITBREAD      PLC,9.564
1252,Wiener   Syaedtische   Wechselseit,1 0
1253,Will Semiconductor     Ltd,311
1254,WILLIAMS    COS  INC,13.401
1255,Willis Towers   Watson   PLC,1.788
1256,Wingtech   Technology    Co Ltd,129
1257,WISE  PLC,2.580
1258,WiseTech    Global Ltd,1.455
1259,"Wix,com    Ltd",4.489
1260,Wolters   kluwer  NV,39.420
1261,WOODSIDE     ENERGY    GROUP    LTD,4.995
1262,Woolworths    Limited,6.038
1263,Woori   Financial Group   Inc,9.864
1264,Workday    Inc,4.541
1265,WPP   PLC,1.747
1266,WR   Berkley  Corp,2.748
1267,WuXi   AppTec   Co Ltd,149
1268,WW    GRAINGER    INC,6.786
1269,Xero  Ltd,5.277
1270,Xerox  Corp,1.582
1271,  D Inc,117
1272,Xiaomi  Corp,8.023
1273, Te,9 9
1274,NY,15.696
1275,Yadea  Group   Holdings  Ltd,1.837
1276,Yageo  Corp,7.412
1277,   Inc,6.238
1278,Yakult  Honsha,12.049
1279,Yamada    Denki  Co Ltd,1.080
1280,YAMAHA     CORP,4.002
1281,Yamaha    Motor  Co  Ltd,848
1282,Yaskawa   Electric Corp,4.549
1283,YEALINK   NETWORK,257
1284,Yokogawa    Electric Corp,4.428
1285,The,694
1286,Youngor   Group   Co Ltd,4 2
1287,YTO  Express  Group   Co  Ltd,3 4
1288,Yue  Yuen  Industrial Hldg,3.089
1289,Yum   China  Holdings  Inc,11.702
1290,Yunnan   Baiyao  Group   Co Ltd,4 3
1291,Yunnan   Tin Co  Ltd,100
1292,Yunnan   Yuntianhua   Co  Ltd,467
1293,Zensho   Co Ltd,634
1294,Zhejiang  Dingli,139
1295,Zhongji  Innolight  Co Ltd,7
1296,ZILLOW   INC,176
1297,ZIM  Integrated  Shipping   Servic,6 6
1298,Zimmer   Biomet   Holdings  Inc,15.399
1299,Zions  Ban  Corp,3.542
1300,Zoetis Inc,3.700
1301,Zomato   Ltd,1.509
1302,Zon  Optimus   SGPS  SA,5
1303,Zoom   Video  Communications      Inc,6.867
1304,ZSCALER   INC,3.344
1305,ZTE  Corp,725
1306,ZTT,266
1307,Zurich  Insurance  Group   AG,512
1308,Federal  Republic  of Germany,4 .454.269
1309,Staat der  Nederlanden,4 .382.489
1310,South  Africa Government     Bond,127.107
1311,Czech  Republic  Government     Bond,115.647
1312,Malaysia  Government     Bond,98.996
1313, ,888
1314,AA BOND    CO  LTD,2.762
1315,AAR  Corp,1.916
1316,AbbVie  Inc,6.701
1317,Abertis Infraestructuras,5.366
1318,ABN  AMRO    Bank  NV,21.650
1319,ACADEMY     LTD,5.048
1320,ACADIA   HEALTHCARE     CO  INC,5.086
1321,ACCO   Brands  Corp,5.162
1322,Accor  SA,2.076
1323,ACCORINVEST     GROUP    SA,3.392
1324,ACEF  HOLDING    SCA,1.539
1325,Achmea   Hypotheekbank     NV,4.461
1326,ACTION   LOGEMENT     SERVICES,3.827
1327,ACTION   NEDERLAND,2.067
1328,ACUSHNET    CO,2.497
1329,Adient  Plc,703
1330,ADIF Alta  Velocidad,2.950
1331,ADLER  FINANCING     SARL,3.110
1332,ADLER  Real  Estate AG,195
1333,Adp,3.600
1334,ADRIA  BIDCO   BV,11.675
1335,ADT  CORP,1.352
1336,ADVANZ    PHARMA     CORP  LTD,1.019
1337,Advent  International,2.840
1338,ADVOCATE     HEALTH   CORP,2.456
1339,AEDAS   HOMES    OPCO   SLU,752
1340,AerCap  Holdings   NV,2.322
1341,Aeroporti  di Roma   Spa,2.089
1342,Aetna  Inc,1.011
1343,Agence  Francaise  de  Developement,2.357
1344,Aggreko  PLC,5.937
1345,AHEAD   DB  HOLDINGS    LLC,1.341
1346,AHS  HOSPITAL   CORP,1.388
1347,AIA Group   Ltd,4.607
1348,Air Canada,3.976
1349,Aircastle Ltd,958
1350,Aker BP  ASA,10.375
1351,ALCON   FINANCE   CORP,1.874
1352,Alexandria  Real Estate,9.271
1353,ALGONQUIN     POWER    CO,3.530
1354,Alliander Finance  BV,6.756
1355,"Allianz Finance  II B,V,",1.686
1356,ALLIED  IRISH BANKS   PLC,9.939
1357,ALLIED  UNIVERSAL    HOLDCO,11.636
1358,ALLY FINANCIAL    INC,4.390
1359,ALPHA   GENERATION     LLC,5.598
1360,Alstom  SA,748
1361,ALTA  EQUIPMENT     GROUP,2.038
1362,ALTICE  FRANCE   SA,4.590
1363,AMBER    FINCO  PLC,4.744
1364,AMC   NETWORKS     INC,13.385
1365,AMER   SPORTS   COMPANY,3.426
1366,AMERICAN     AIRLINES,2013
1367,AMERICAN     APP  INC,4.120
1368,American   Express  Bk Fsb,6.446
1369,American   Homes,4
1370,American   Tower   Corp,11.448
1371,AMFAM    HOLDINGS     INC,1.821
1372,Amgen   Inc,8.963
1373,AMN   HEALTHCARE     INC,2.855
1374,Amphenol    Corp,241
1375,AMPRION    GMBH,16.426
1376,AMSTED    INDUSTRIES,2.980
1377,AMWINS    GROUP    INC,7.593
1378,"ANCESTRY,COM      INC",4.859
1379,ANGLIAN    WATER   OSPREY    FIN,5.588
1380,Anheuser   Busch  InBev  NV,7.257
1381,ANTARES    HOLDINGS,4.977
1382,ANTOFAGASTA      PLC,3.256
1383,Aon  Corp,3.513
1384,APA  Group,1.975
1385,Apollo Swedish   Bidco  AB,3.497
1386,APPF  COMMERCIAL      FINAN,1.122
1387,APPLIED  SYSTEMS    INC,4.728
1388,Aptiv PLC,900
1389,ARAMARK     SERVICES   INC,7.878
1390,Arcadis NV,1.630
1391,ARCH  COAL   INC,2.853
1392,Arconic  Inc,12.680
1393,ARDAGH    GLASS   FINANCE,7.630
1394,ARDAGH    METAL   PACKAGING,8.690
1395,ARDONAGH      FINCO  LTD,10.122
1396,Ares Capital Corp,1.563
1397,ARES  FINANCE   CO  II LLC,1.085
1398,ARGENTA    SPAARBANK,502
1399,Aroundtown    SA,1.942
1400,ARROW    GLOBAL    FINANCE,2.301
1401,ASBURY   AUTOMOTIVE      GROUP,979
1402,Ascend  learning  llc,700
1403,Ascension  health,863
1404,ASGN   INCORPORATED,2.631
1405,ASHLAND    INC,6.241
1406,ASHTEAD    CAPITAL   INC,935
1407,ASK  CHEM   DE  HOLD   GMBH,1.674
1408,ASMODEE     GROUP   AB,1.875
1409,Asr Nederland   Nv,5.280
1410,"Asset Management      Co S,p,A,",1.773
1411,ASSUREDPARTNERS       INC,2.102
1412,ASTON   MARTIN    CAPITAL   LTD,6.982
1413,"Asurion,  LLC",13.934
1414,ATHENE   HOLDING    LTD,1.722
1415,Atlantia SpA,5.391
1416,ATLANTICA    SUSTAIN   INFRA,4.841
1417,Atmos  Energy   Corp,2.132
1418,Auris Luxembourg    III Sarl,1.086
1419,Australia Government     Bond,16.299
1420,Autodesk   Inc,386
1421,Autodis  SA,1.493
1422,AUTONATION      INC,3.622
1423,Autozone   Inc,1.622
1424,AVAGO    TECHNOLGIES     CAYMA,9.075
1425,AVANGRID    INC,15.955
1426,AVANTOR    FUNDING     INC,3.082
1427,AVIATION   CAPITAL   GROUP,1.303
1428,Avient Corp,3.447
1429,Brasil Bolsa Balcao,481
1430,AYVENS   SA,2.380
1431,AZELIS  FINANCE   NV,4.775
1432,AZORRA    FINANCE,6.434
1433,Back office,6.679
1434,BANC   OF AMERICA    FUNDING     CORPOR,1 3
1435,Banca  Monte   dei Paschi  di Sien,2.766
1436,"Banco  Bilbao  Vizcaya  Argent, SA",2.765
1437,Banco  Comercial   Portugues   SA,1.030
1438,Banco  de  Sabadell SA,12.100
1439,Banco  Espirito Santo  SA,247
1440,Banco  General  Sa,190
1441,Banco  Santander   SA,31.543
1442,BANIJAY   ENTERTAINMENT,1.800
1443,"Bank  Nederlandse   Gemeenten     N,V",9.601
1444,Bank  of America  Corp,71.573
1445,BANK   OF IRELAND,6.310
1446,Bank  of Montreal,3.166
1447,Bank  Of New   York Mellon,189
1448,Bank  of Nova  Scotia,3.231
1449,Bankinter  SA,2.836
1450,Banque   Federative  Credit Mutuel,22.913
1451,Barcardi Ltd,663
1452,BARCLAYS    BANK   PLC,18.731
1453,Barrick Gold  Corp,1.970
1454,BARRY   CALLEBAUT    SVCS  NV,3.015
1455,Bausch  Health  Cos  Inc,14.574
1456,BAY  AREA  CA  TOLL  AUTH   TOLL  BRI,1.578
1457,BAYCARE    HEALTH   SYSTEM,243
1458,BCP  MODULAR     SERVICES,5.186
1459,BEACON    ROOFING    SUPPLY   IN,779
1460,Becton  Dickinson,1.654
1461,BELDEN   INC,952
1462,BELFOR   HOLDINGS    INC,1.337
1463,BELL CANADA,1.918
1464,BELLIS FINCO   PLC,8.992
1465,BELLRING   BRANDS    INC,6.241
1466,BELRON,3.741
1467,BENTELER   INTERNATIONAL      A,303
1468,Berkeley  Group  Holdings   PLC,587
1469,BERKSHIRE   HATHAWAY      ENERG,624
1470,BERRY  PLASTICS   CORP,6.771
1471,BERTRAND    FRANCHISE,368
1472,BEVCO   LUX  SARL,3.573
1473,BIOCON   BIOLOGICS    GLOBAL,3.081
1474,Blackrock  Inc,384
1475,BLACKSTONE     CQP  HOLDCO    LP,7.700
1476,Blackstone  Holdings   Fina,1.893
1477,BLACKSTONE     PP EUR   HOLD,8.710
1478,BLACKSTONE     PRIVATE   CRE,3.706
1479,BLOCK   COMMUNICATIONS        INC,5.224
1480,BLUE  OWL   CREDIT   INCOME,2.376
1481,BLUE  OWL   FINANCE   LLC,1.730
1482,BLUELINX   HOLDING,4.662
1483,BNP  Paribas,42.349
1484,Boardwalk   Pipelines  Llc,5.285
1485,BOE  MERGER    CORP,3.536
1486,Boels Topholding   BV,1.559
1487,BOMBARDIER      INC,11.432
1488,Booking  Holdings   Inc,2.105
1489,Boral Ltd,1.215
1490,Boston  Properties  LP,2.913
1491,BOSTON    SCIENTIFIC  CORP,3.477
1492,Boston  University,879
